CustomerID;Title;FirstName;MiddleName;LastName;Suffix;AddressLine1;AddressLine2;City;StateProvinceName;CountryRegionName;PostalCode;PhoneNumber;BirthDate;Education;Occupation;Gender;MaritalStatus;HomeOwnerFlag;NumberCarsOwned;NumberChildrenAtHome;TotalChildren;YearlyIncome;LastUpdated;BikeBuyer;AvgMonthSpend;BikeBuyerText;Today;Age;age groups
21173;NULL;Chad;C;Yuan;NULL;7090 C. Mount Hood;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0115;32094;Bachelors;Clerical;M;M;1;3;0;1;81916;6/03/2017;1;50.97;YES;14/09/2024;37;30-39
13249;NULL;Ryan;NULL;Perry;NULL;3651 Willow Lake Rd;NULL;Shawnee;British Columbia;Canada;V9B 2C3;787-555-0136;26501;Partial College;Clerical;M;M;1;2;1;2;81076;6/03/2017;1;53.11;YES;14/09/2024;52;40-59
29350;NULL;Julia;NULL;Thompson;NULL;1774 Tice Valley Blvd.;NULL;West Covina;California;United States;91791;120-555-0111;31360;Bachelors;Clerical;F;S;0;3;0;0;86387;6/03/2017;1;54.08;YES;14/09/2024;39;30-39
13503;NULL;Theodore;NULL;Gomez;NULL;2103 Baldwin Dr;NULL;Liverpool;England;United Kingdom;L4 4HB;1 (11) 500 555-0167;28416;Partial College;Skilled Manual;M;M;1;2;1;2;61481;6/03/2017;1;56.93;YES;14/09/2024;47;40-59
22803;NULL;Marshall;J;Shan;NULL;Am Gallberg 234;NULL;Werne;Nordrhein-Westfalen;Germany;59368;1 (11) 500 555-0113;27430;Partial College;Skilled Manual;M;S;1;1;0;0;51804;6/03/2017;1;55.41;YES;14/09/2024;50;40-59
22092;NULL;Andrea;NULL;Young;NULL;9384 Ashmount Way;NULL;Tacoma;Washington;United States;98403;639-555-0165;27448;High School;Skilled Manual;F;M;1;2;2;2;61944;6/03/2017;1;49.31;YES;14/09/2024;50;40-59
11229;NULL;Adrian;C;Stewart;NULL;6898 Shaw Rd.;NULL;Redwood City;California;United States;94063;812-555-0122;26270;Partial College;Manual;M;S;1;1;0;0;34919;6/03/2017;0;56.01;NO;14/09/2024;53;40-59
24179;NULL;Robyn;R;Blanco;NULL;6270 Pinecreek Way;NULL;Lavender Bay;New South Wales;Australia;2060;1 (11) 500 555-0113;35496;Partial College;Skilled Manual;F;M;0;1;0;0;61832;6/03/2017;1;49.29;YES;14/09/2024;28;24 -29
12127;NULL;Grace;NULL;Davis;NULL;8188, rue Lamarck;NULL;Dunkerque;Nord;France;59140;1 (11) 500 555-0178;28108;Partial College;Clerical;F;M;1;0;0;2;83834;6/03/2017;1;50.05;YES;14/09/2024;48;40-59
19903;NULL;Marcus;N;Nelson;NULL;5, rue des Bouchers;NULL;Metz;Moselle;France;57000;1 (11) 500 555-0181;28098;High School;Manual;M;S;0;1;0;0;26880;6/03/2017;0;54.15;NO;14/09/2024;48;40-59
25924;NULL;Hannah;NULL;Robinson;NULL;536 Beech Ct.;NULL;Redwood City;California;United States;94063;609-555-0161;36119;Partial College;Clerical;F;S;0;1;0;0;77258;6/03/2017;0;54.02;NO;14/09/2024;26;24 -29
23033;NULL;Alex;J;Turner;NULL;9973 Mcnutt Ave;NULL;Lakewood;California;United States;90712;668-555-0160;29697;Bachelors;Management;M;M;1;3;0;0;102698;6/03/2017;0;58.29;NO;14/09/2024;43;40-59
20029;NULL;Jan;M;Evans;NULL;7787 Olive St.;NULL;Los Angeles;California;United States;90012;163-555-0164;30979;Bachelors;Management;F;M;1;1;1;2;108198;6/03/2017;1;52.66;YES;14/09/2024;40;40-59
22031;NULL;Jorge;NULL;Cai;NULL;7952 Quartermaster;NULL;Wollongong;New South Wales;Australia;2500;1 (11) 500 555-0191;22140;Bachelors;Professional;M;M;1;2;0;2;133762;6/03/2017;0;52.5;NO;14/09/2024;64;60+
23770;NULL;Jamie;NULL;Carlson;NULL;8191 Scenic Ct.;NULL;Maidenhead;England;United Kingdom;SL67RJ;1 (11) 500 555-0165;33370;Partial High School;Manual;M;S;0;1;0;0;30526;7/03/2017;0;49.61;NO;14/09/2024;33;30-39
23737;NULL;Elena;NULL;Velez Amezaga;NULL;9613 Camino Royale;NULL;Beverly Hills;California;United States;90210;545-555-0171;26006;Partial College;Skilled Manual;F;M;1;2;0;2;56353;6/03/2017;1;49.04;YES;14/09/2024;54;40-59
17127;NULL;Makayla;A;Gray;NULL;9442 Lacanda;NULL;Puyallup;Washington;United States;98371;133-555-0124;23895;High School;Clerical;F;S;1;3;1;1;79019;6/03/2017;1;50.48;YES;14/09/2024;59;40-59
28130;NULL;Joshua;M;Taylor;NULL;1145 Paraiso Ct.;NULL;Langley;British Columbia;Canada;V3A 4R2;926-555-0140;34002;Partial College;Skilled Manual;M;S;0;2;0;0;55387;6/03/2017;1;51;YES;14/09/2024;32;30-39
28455;NULL;Raymond;E;Sara;NULL;Zollstr 68;Verkaufsabteilung;Darmstadt;Hessen;Germany;64283;1 (11) 500 555-0165;29743;Bachelors;Management;M;M;1;2;0;2;113276;6/03/2017;0;58.69;NO;14/09/2024;43;40-59
20161;NULL;Albert;G;Sanz;NULL;87, rue de la Com?©die;NULL;Orly;Val de Marne;France;94310;1 (11) 500 555-0118;23182;Partial College;Management;M;S;1;1;0;1;109259;6/03/2017;0;52.3;NO;14/09/2024;61;60+
21325;NULL;Angela;NULL;Hayes;NULL;8273 Glacier Drive;NULL;El Cajon;California;United States;92020;848-555-0112;29412;High School;Clerical;F;M;1;0;0;2;83845;6/03/2017;0;50.38;NO;14/09/2024;44;40-59
12128;NULL;Kristy;E;Munoz;NULL;Altendorfer Stra?üe 903;NULL;Berlin;Hessen;Germany;12171;1 (11) 500 555-0146;28110;High School;Skilled Manual;F;M;1;0;2;2;59527;6/03/2017;1;53.22;YES;14/09/2024;48;40-59
23679;NULL;Jacob;G;Harris;NULL;7987 Seawind Dr.;NULL;Oak Bay;British Columbia;Canada;V8P;518-555-0167;22590;Bachelors;Management;M;S;1;1;0;1;108360;6/03/2017;0;51.88;NO;14/09/2024;63;60+
26799;NULL;Ryan;G;Russell;NULL;1104 O St.;NULL;Coronado;California;United States;92118;696-555-0187;35327;Partial College;Clerical;M;M;0;1;0;0;87504;6/03/2017;0;49.72;NO;14/09/2024;28;24 -29
15726;NULL;Faith;F;Barnes;NULL;6176 Crow Street;NULL;Hervey Bay;Queensland;Australia;4655;1 (11) 500 555-0195;34027;Bachelors;Skilled Manual;F;M;0;0;0;0;55461;6/03/2017;1;48.76;YES;14/09/2024;32;30-39
15473;NULL;Abigail;NULL;Jenkins;NULL;4838 Second Street;NULL;Coronado;California;United States;92118;135-555-0132;32613;Bachelors;Professional;F;S;1;2;0;0;137464;6/03/2017;1;52.03;YES;14/09/2024;35;30-39
28685;NULL;Marshall;J;Zhu;NULL;24, boulevard Tremblay;NULL;Drancy;Seine Saint Denis;France;93700;1 (11) 500 555-0189;32948;High School;Clerical;M;M;1;2;0;1;87676;6/03/2017;1;49.89;YES;14/09/2024;35;30-39
12302;NULL;Kevin;NULL;Coleman;NULL;Reiherweg 5;NULL;Frankfurt;Hessen;Germany;60323;1 (11) 500 555-0167;24168;Bachelors;Management;M;M;1;3;0;2;104187;6/03/2017;1;51.15;YES;14/09/2024;59;40-59
23523;NULL;Steve;V;Liu;NULL;8358 Azalea Avenue;NULL;Findon;South Australia;Australia;5023;1 (11) 500 555-0135;30547;Bachelors;Clerical;M;S;0;1;0;0;78222;6/03/2017;1;53.53;YES;14/09/2024;41;40-59
18713;NULL;Rosa;NULL;Yang;NULL;5673 Arlington Circle;NULL;Newcastle;New South Wales;Australia;2300;1 (11) 500 555-0178;31731;Graduate Degree;Clerical;F;M;1;2;0;1;77383;6/03/2017;0;50.59;NO;14/09/2024;38;30-39
24082;NULL;Regina;A;Rodriguez;NULL;56, avenue de l¬¥Europe;NULL;Morangis;Essonne;France;91420;1 (11) 500 555-0119;31029;High School;Skilled Manual;F;M;1;1;2;2;60700;6/03/2017;1;49.29;YES;14/09/2024;40;40-59
27886;NULL;Denise;P;Gonzalez;NULL;80, avenue de Malakoff;NULL;Pantin;Seine Saint Denis;France;93500;1 (11) 500 555-0116;29488;High School;Manual;F;S;0;0;0;0;30913;6/03/2017;0;49;NO;14/09/2024;44;40-59
21711;NULL;Hailey;J;Gray;NULL;44 Garcia;NULL;West Covina;California;United States;91791;643-555-0126;28805;Partial College;Clerical;F;S;1;2;0;0;86952;6/03/2017;1;54.71;YES;14/09/2024;46;40-59
22366;NULL;Logan;C;Henderson;NULL;1695 Valley High Dr;NULL;Sooke;British Columbia;Canada;V0;154-555-0134;28687;Graduate Degree;Skilled Manual;M;M;1;2;1;2;58567;6/03/2017;1;55.64;YES;14/09/2024;46;40-59
15010;NULL;Cory;J;Suri;NULL;9342 Temple Drive;NULL;Berkeley;California;United States;94704;109-555-0114;35685;Partial College;Clerical;M;M;0;0;0;0;77478;6/03/2017;0;50.55;NO;14/09/2024;27;24 -29
22296;NULL;Benjamin;M;Johnson;NULL;4137 Garcia Ranch Road;NULL;Lemon Grove;California;United States;91945;913-555-0137;32225;Bachelors;Clerical;M;M;1;2;0;1;78406;6/03/2017;0;50.16;NO;14/09/2024;37;30-39
23237;NULL;Caleb;C;Young;NULL;Helsenbergbogen 2;NULL;Kassel;Hessen;Germany;34117;1 (11) 500 555-0192;33234;Partial College;Clerical;M;S;0;1;0;0;85318;6/03/2017;0;51.02;NO;14/09/2024;34;30-39
13832;NULL;Priscilla;R;Raji;NULL;51, rue Henri Gagnon;NULL;Courbevoie;Hauts de Seine;France;92400;1 (11) 500 555-0125;35182;High School;Skilled Manual;F;S;0;0;0;0;52928;6/03/2017;1;52.17;YES;14/09/2024;28;24 -29
26026;NULL;Cindy;E;Srini;NULL;9099 Warmcastle Ct.;NULL;Townsville;Queensland;Australia;4810;1 (11) 500 555-0153;31911;Bachelors;Clerical;F;S;0;2;0;0;79224;6/03/2017;1;52.31;YES;14/09/2024;37;30-39
17813;NULL;Jay;K;Nicholls;NULL;2080 Mountain View Dr.;NULL;Woolston;England;United Kingdom;WA1 4SY;1 (11) 500 555-0187;30500;Partial College;Manual;M;M;0;0;0;1;33076;6/03/2017;1;53.13;YES;14/09/2024;41;40-59
26369;NULL;Kate;J;Nath;NULL;1101, rue Lauriston;NULL;S?®vres;Hauts de Seine;France;92310;1 (11) 500 555-0171;31314;High School;Skilled Manual;F;M;1;1;0;2;56641;6/03/2017;0;48.89;NO;14/09/2024;39;30-39
18824;NULL;Elijah;L;Collins;NULL;2535 Park Lane;NULL;La Jolla;California;United States;92806;620-555-0143;30187;High School;Manual;M;M;1;0;0;1;27203;6/03/2017;0;52.46;NO;14/09/2024;42;40-59
21064;NULL;Colleen;C;Sun;NULL;8188, place du Tertre;NULL;Saint Ouen;Somme;France;80610;1 (11) 500 555-0116;31736;High School;Clerical;F;S;0;3;0;0;77098;6/03/2017;0;50.21;NO;14/09/2024;38;30-39
28532;NULL;Tony;R;Xie;NULL;4757, rue Saint-Lazare;NULL;Paris;Seine (Paris);France;75008;1 (11) 500 555-0112;32483;Bachelors;Management;M;M;1;3;2;2;103200;6/03/2017;1;53.97;YES;14/09/2024;36;30-39
